,subjects,models,rois,count,performance,count_all,pct
0,AH,thirdOrder,wholeBrain,2166,0.014873271929022089,5054,0.42857142857142855
1,AH,semantic,wholeBrain,2888,0.018218486540199013,5054,0.5714285714285714
2,AH,thirdOrder,ACunique,9,0.008647104649248326,14,0.6428571428571429
3,AH,semantic,ACunique,5,0.005655897062933945,14,0.35714285714285715
4,AH,thirdOrder,STG,114,0.026642302532293303,169,0.6745562130177515
5,AH,semantic,STG,55,0.026908389802172843,169,0.3254437869822485
6,AH,thirdOrder,STS,279,0.03294213000271316,363,0.768595041322314
7,AH,semantic,STS,84,0.026686047038072588,363,0.23140495867768596
8,AH,thirdOrder,LTCunique,60,0.015948181401593806,198,0.30303030303030304
9,AH,semantic,LTCunique,138,0.035312256476902185,198,0.696969696969697
10,AH,thirdOrder,Broca,40,0.026041429351789703,76,0.5263157894736842
11,AH,semantic,Broca,36,0.02787355448688484,76,0.47368421052631576
12,BG,thirdOrder,wholeBrain,3017,0.024569558628998362,6971,0.4327929995696457
13,BG,semantic,wholeBrain,3954,0.03181060731994632,6971,0.5672070004303543
14,BG,thirdOrder,ACunique,6,0.007141862105830417,11,0.5454545454545454
15,BG,semantic,ACunique,5,0.011225970089435577,11,0.45454545454545453
16,BG,thirdOrder,STG,97,0.03955360613994363,129,0.751937984496124
17,BG,semantic,STG,32,0.02880073496703517,129,0.24806201550387597
18,BG,thirdOrder,STS,213,0.033347381222663154,315,0.6761904761904762
19,BG,semantic,STS,102,0.040155719957207715,315,0.3238095238095238
20,BG,thirdOrder,LTCunique,189,0.04625272945836682,426,0.44366197183098594
21,BG,semantic,LTCunique,237,0.0486259336964245,426,0.5563380281690141
22,BG,thirdOrder,Broca,18,0.037778164337699614,54,0.3333333333333333
23,BG,semantic,Broca,36,0.052514107483956546,54,0.6666666666666666
24,DS,thirdOrder,wholeBrain,2087,0.027964837627859715,6021,0.34662016276366053
25,DS,semantic,wholeBrain,3934,0.03323901439725548,6021,0.6533798372363395
26,DS,thirdOrder,ACunique,28,0.02796001342046241,42,0.6666666666666666
27,DS,semantic,ACunique,14,0.013462624745443463,42,0.3333333333333333
28,DS,thirdOrder,STG,93,0.040085515869695006,138,0.6739130434782609
29,DS,semantic,STG,45,0.03379547531318773,138,0.32608695652173914
30,DS,thirdOrder,STS,186,0.04511750893320285,315,0.5904761904761905
31,DS,semantic,STS,129,0.04059333602587382,315,0.4095238095238095
32,DS,thirdOrder,LTCunique,113,0.04045986136062528,372,0.30376344086021506
33,DS,semantic,LTCunique,259,0.04410826233119484,372,0.696236559139785
34,DS,thirdOrder,Broca,8,0.030741308932192624,44,0.18181818181818182
35,DS,semantic,Broca,36,0.041945254947576255,44,0.8181818181818182
36,JG,thirdOrder,wholeBrain,2718,0.017522938001595878,8429,0.3224581800925377
37,JG,semantic,wholeBrain,5711,0.03037212083688643,8429,0.6775418199074623
38,JG,thirdOrder,ACunique,21,0.006622843576007567,34,0.6176470588235294
39,JG,semantic,ACunique,13,0.011784352420923265,34,0.38235294117647056
40,JG,thirdOrder,STG,92,0.028975255782469227,151,0.609271523178808
41,JG,semantic,STG,59,0.0264868997062075,151,0.39072847682119205
42,JG,thirdOrder,STS,226,0.02907530248110529,463,0.48812095032397407
43,JG,semantic,STS,237,0.033753692142596374,463,0.5118790496760259
44,JG,thirdOrder,LTCunique,83,0.01395247811568145,280,0.29642857142857143
45,JG,semantic,LTCunique,197,0.03224374516675046,280,0.7035714285714286
46,JG,thirdOrder,Broca,43,0.028465791973610256,68,0.6323529411764706
47,JG,semantic,Broca,25,0.030804227655753493,68,0.36764705882352944
48,ML,thirdOrder,wholeBrain,3193,0.025741126742272025,12304,0.25950910273081923
49,ML,semantic,wholeBrain,9111,0.036232456594507606,12304,0.7404908972691807
50,ML,thirdOrder,ACunique,27,0.021142317134945188,76,0.35526315789473684
51,ML,semantic,ACunique,49,0.0144082467755949,76,0.6447368421052632
52,ML,thirdOrder,STG,159,0.03758063663517303,287,0.554006968641115
53,ML,semantic,STG,128,0.03309814169006131,287,0.445993031358885
54,ML,thirdOrder,STS,295,0.04622613612692645,464,0.6357758620689655
55,ML,semantic,STS,169,0.03469167177325332,464,0.3642241379310345
56,ML,thirdOrder,LTCunique,196,0.035555497176778306,573,0.34205933682373474
57,ML,semantic,LTCunique,377,0.04355940279064191,573,0.6579406631762653
58,ML,thirdOrder,Broca,77,0.03744449272472865,161,0.4782608695652174
59,ML,semantic,Broca,84,0.042272256260427334,161,0.5217391304347826
60,NNS0,thirdOrder,wholeBrain,1312,0.021045522389388723,5726,0.22913028292001397
61,NNS0,semantic,wholeBrain,4414,0.034869876311313504,5726,0.7708697170799861
62,NNS0,thirdOrder,ACunique,10,0.01452284089755267,29,0.3448275862068966
63,NNS0,semantic,ACunique,19,0.007980138426845721,29,0.6551724137931034
64,NNS0,thirdOrder,STG,57,0.029663637732977678,98,0.5816326530612245
65,NNS0,semantic,STG,41,0.022005743528829842,98,0.41836734693877553
66,NNS0,thirdOrder,STS,139,0.043731934765961836,184,0.7554347826086957
67,NNS0,semantic,STS,45,0.02718101386417402,184,0.24456521739130435
68,NNS0,thirdOrder,LTCunique,34,0.020318021081359747,284,0.11971830985915492
69,NNS0,semantic,LTCunique,250,0.052229618436686,284,0.8802816901408451
70,NNS0,thirdOrder,Broca,18,0.03642681411777934,42,0.42857142857142855
71,NNS0,semantic,Broca,24,0.04393180182281261,42,0.5714285714285714
72,SP,thirdOrder,wholeBrain,3340,0.019649876654117604,16049,0.20811265499408063
73,SP,semantic,wholeBrain,12709,0.022335504668690248,16049,0.7918873450059194
74,SP,thirdOrder,ACunique,37,0.014634443133734356,90,0.4111111111111111
75,SP,semantic,ACunique,53,0.009584269193081401,90,0.5888888888888889
76,SP,thirdOrder,STG,195,0.03981803801294658,418,0.4665071770334928
77,SP,semantic,STG,223,0.026868923779282326,418,0.5334928229665071
78,SP,thirdOrder,STS,235,0.05313246953960612,687,0.3420669577874818
79,SP,semantic,STS,452,0.03170663918637077,687,0.6579330422125182
80,SP,thirdOrder,LTCunique,110,0.021725841549513545,540,0.2037037037037037
81,SP,semantic,LTCunique,430,0.024641464517641674,540,0.7962962962962963
82,SP,thirdOrder,Broca,72,0.028684339583075296,204,0.35294117647058826
83,SP,semantic,Broca,132,0.02770561649584014,204,0.6470588235294118
84,SS,thirdOrder,wholeBrain,4286,0.01538406326785265,11067,0.387277491641818
85,SS,semantic,wholeBrain,6781,0.014366602912322357,11067,0.612722508358182
86,SS,thirdOrder,ACunique,65,0.013973492250638979,135,0.48148148148148145
87,SS,semantic,ACunique,70,0.015848803299455278,135,0.5185185185185185
88,SS,thirdOrder,STG,200,0.02921302576374728,452,0.4424778761061947
89,SS,semantic,STG,252,0.023423727208828782,452,0.5575221238938053
90,SS,thirdOrder,STS,285,0.03735263689245984,696,0.40948275862068967
91,SS,semantic,STS,411,0.027938197294686936,696,0.5905172413793104
92,SS,thirdOrder,LTCunique,144,0.019825870583594626,346,0.4161849710982659
93,SS,semantic,LTCunique,202,0.016548261859894085,346,0.5838150289017341
94,SS,thirdOrder,Broca,81,0.04022104026619302,181,0.44751381215469616
95,SS,semantic,Broca,100,0.03066218228894286,181,0.5524861878453039
96,AN,thirdOrder,wholeBrain,2055,0.013949274923202753,11399,0.18027897183963507
97,AN,semantic,wholeBrain,9344,0.018963919925197942,11399,0.819721028160365
98,AN,thirdOrder,ACunique,12,0.01131802162854001,28,0.42857142857142855
99,AN,semantic,ACunique,16,0.006213453202690289,28,0.5714285714285714
100,AN,thirdOrder,STG,123,0.027308110711630907,361,0.3407202216066482
101,AN,semantic,STG,238,0.021432057636857967,361,0.6592797783933518
102,AN,thirdOrder,STS,176,0.04073437492181917,621,0.2834138486312399
103,AN,semantic,STS,445,0.02975108615469202,621,0.71658615136876
104,AN,thirdOrder,LTCunique,120,0.017133365332665563,558,0.21505376344086022
105,AN,semantic,LTCunique,438,0.02167515827962952,558,0.7849462365591398
106,AN,thirdOrder,Broca,10,0.020700708497315645,126,0.07936507936507936
107,AN,semantic,Broca,116,0.03006579771493401,126,0.9206349206349206
108,WH,thirdOrder,wholeBrain,1454,0.021301943951395785,4905,0.2964322120285423
109,WH,semantic,wholeBrain,3451,0.023029831710848762,4905,0.7035677879714577
110,WH,thirdOrder,ACunique,19,0.01656844948707945,49,0.3877551020408163
111,WH,semantic,ACunique,30,0.021390333011731856,49,0.6122448979591837
112,WH,thirdOrder,STG,43,0.022942387762203337,94,0.4574468085106383
113,WH,semantic,STG,51,0.02458281104319373,94,0.5425531914893617
114,WH,thirdOrder,STS,196,0.04122428426649558,420,0.4666666666666667
115,WH,semantic,STS,224,0.030284456840474507,420,0.5333333333333333
116,WH,thirdOrder,LTCunique,31,0.017660953013311824,184,0.16847826086956522
117,WH,semantic,LTCunique,153,0.03320179398367912,184,0.8315217391304348
118,WH,thirdOrder,Broca,25,0.036040475384797904,47,0.5319148936170213
119,WH,semantic,Broca,22,0.03057293727231974,47,0.46808510638297873
120,TZ,thirdOrder,wholeBrain,4946,0.014859315984659822,12606,0.39235284785023006
121,TZ,semantic,wholeBrain,7660,0.023267613359166685,12606,0.6076471521497699
122,TZ,thirdOrder,ACunique,40,0.010840721691420186,84,0.47619047619047616
123,TZ,semantic,ACunique,44,0.021677750160465206,84,0.5238095238095238
124,TZ,thirdOrder,STG,198,0.02715448476649754,432,0.4583333333333333
125,TZ,semantic,STG,234,0.029820139227965236,432,0.5416666666666666
126,TZ,thirdOrder,STS,331,0.03168593085175496,816,0.4056372549019608
127,TZ,semantic,STS,485,0.03322445404962319,816,0.5943627450980392
128,TZ,thirdOrder,LTCunique,105,0.011233003215117303,329,0.3191489361702128
129,TZ,semantic,LTCunique,224,0.023920107724287782,329,0.6808510638297872
130,TZ,thirdOrder,Broca,36,0.020522838025903586,101,0.3564356435643564
131,TZ,semantic,Broca,65,0.03093933700583875,101,0.6435643564356436
